event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000140416_4_alternative	T	T	T	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_5_canonical	T	T	T	T	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_5_alternative	T	T	T	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_6_canonical	T	T	T	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_6_alternative	F	F	T	F	F	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_7_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_7_alternative	F	F	F	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_8_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_8_alternative	T	T	T	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_9_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_9_alternative	T	T	T	T	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_10_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_10_alternative	T	T	T	T	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_11_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_11_alternative	F	F	F	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_12_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_12_alternative	T	T	T	T	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_13_canonical	F	F	F	F	T	ENSG00000140416	homo_sapiens	canonical	T
ENSG00000140416_13_alternative	F	F	F	F	T	ENSG00000140416	homo_sapiens	alternative	T
ENSG00000140416_14_canonical	T	T	T	T	T	ENSG00000140416	homo_sapiens	canonical	T
